,from,to
9178,984,4969
9177,984,4514
9176,984,2827
9175,984,1334
9174,984,3767
9173,984,4603
9212,985,3543
9213,985,1580
9214,985,1851
9215,985,4163
9216,985,6537
9222,985,3750
9218,985,2621
9219,985,5429
9220,985,5002
9221,985,3951
9211,985,6986
9217,985,1511
9210,985,3267
9206,985,5089
9208,985,7077
9196,985,1213
9197,985,1006
9198,985,1799
9199,985,1458
9209,985,4187
9201,985,5116
9200,985,6976
9203,985,2874
9204,985,4641
9205,985,4226
9207,985,2044
9202,985,4964
9229,986,1216
9231,986,3736
9230,986,5184
9232,986,6907
9228,986,3710
9225,986,5116
9226,986,1409
9224,986,1111
9223,986,3731
9227,986,2253
9233,987,5144
9234,987,5020
9235,987,4920
9236,987,2510
9237,987,3761
9238,988,2932
9239,988,1889
9240,988,1134
9241,989,2916
9242,990,5409
9270,991,1879
9271,991,3379
9272,991,2128
9273,991,1678
9269,991,4238
9274,991,4768
9275,991,3933
9276,991,5265
9277,991,7007
9278,991,2852
9279,991,1474
9286,991,4143
9281,991,4126
9282,991,1157
9283,991,3696
9284,991,3577
9285,991,2514
9290,991,2931
9287,991,4213
9288,991,1794
9289,991,2822
9268,991,6279
9280,991,3073
9267,991,1082
9246,991,205
9265,991,4984
9266,991,4195
9243,991,4640
9244,991,5146
9245,991,4603
9247,991,3842
9248,991,5048
9249,991,4263
9250,991,1436
9252,991,1386
9253,991,4456
9251,991,1200
9255,991,2637
9264,991,1958
9263,991,2842
9254,991,3354
9261,991,1276
9260,991,4152
9262,991,4463
9258,991,4719
9257,991,6902
9256,991,4928
9259,991,4573
9298,992,3382
9302,992,6183
9301,992,3699
9300,992,4589
9299,992,5375
9297,992,1447
9294,992,5115
9295,992,3271
9293,992,1779
9292,992,3074
9291,992,3704
9296,992,1462
9319,993,1854
9318,993,1681
9317,993,4684
9316,993,1039
9315,993,3460
9314,993,3518
9313,993,3391
9312,993,3874
9309,993,4281
9310,993,1767
9308,993,4661
9307,993,1253
9306,993,4583
9305,993,3775
9304,993,1490
9303,993,5144
9311,993,1533
9324,994,5917
9323,994,2176
9325,994,2477
9321,994,5404
9320,994,5111
9322,994,3723
9326,995,1076
9327,996,4205
9328,996,5032
9329,996,5416
9330,996,2859
9331,997,5251
9332,997,3805
9333,998,1463
9354,999,2315
9353,999,1187
9355,999,3097
9351,999,4795
9350,999,4997
9349,999,5415
9348,999,3970
9347,999,2078
9346,999,4857
9345,999,4541
9352,999,4827
9343,999,3755
9342,999,5391
9341,999,2786
9340,999,1830
9339,999,4943
9338,999,4894
9337,999,3491
9336,999,4627
9335,999,5242
9334,999,3862
9344,999,4356
9365,1000,3894
9364,1000,2270
9362,1000,5385
9361,1000,3500
9363,1000,5246
9359,1000,2882
9358,1000,5138
9357,1000,2832
9356,1000,4388
9360,1000,2463
9372,1001,4401
9370,1001,5127
9369,1001,4305
9371,1001,2584
9367,1001,4079
9366,1001,2478
9368,1001,4417
9373,1002,5584
9374,1003,3863
9375,1003,4712
9384,1004,4692
9389,1004,4416
9388,1004,5363
9387,1004,3507
9386,1004,3518
9385,1004,4123
9383,1004,3615
9379,1004,1381
9381,1004,2060
9376,1004,5144
9377,1004,1490
9382,1004,3284
9378,1004,3897
9380,1004,1253
9390,1005,3368
9391,1005,623
9392,1005,3249
9393,1005,5430
9394,1005,5254
9395,1005,3954
9417,1006,5190
9418,1006,5425
9420,1006,6759
9421,1006,4548
9422,1006,5221
9423,1006,4240
9424,1006,5138
9425,1006,3954
9429,1006,4699
9427,1006,4233
9428,1006,3226
9416,1006,3899
9430,1006,3113
9431,1006,1769
9432,1006,1791
9433,1006,5430
9426,1006,2916
9415,1006,4998
9419,1006,2961
9413,1006,4192
9414,1006,3862
9397,1006,5146
9398,1006,6305
9399,1006,4207
9400,1006,2454
9401,1006,1701
9402,1006,6837
9403,1006,4379
9404,1006,3268
9396,1006,4491
9406,1006,3817
9407,1006,2645
9408,1006,4049
9409,1006,3093
9410,1006,2056
9411,1006,1749
9412,1006,1818
9405,1006,4150
9442,1007,3954
9441,1007,1749
9440,1007,3814
9439,1007,5086
9438,1007,5417
9436,1007,3743
9435,1007,4205
9434,1007,1371
9437,1007,3586
9443,1008,1986
9444,1008,3771
9445,1008,2696
9446,1008,4416
9447,1009,673
9448,1010,1749
9450,1011,3492
9449,1011,1372
9453,1012,4416
9451,1012,1406
9452,1012,2913
9454,1013,1290
9455,1013,3589
9456,1014,4212
9457,1014,5387
9458,1014,3403
9459,1014,4541
9460,1014,1605
9462,1015,1377
9461,1015,1973
9463,1016,6029
9464,1016,3807
9465,1017,4027
9466,1017,1577
9467,1017,2786
9468,1017,2584
9470,1018,3483
9469,1018,2546
9471,1019,4416
9472,1020,4550
9473,1020,4267
9474,1020,1749
9498,1021,1168
9497,1021,2118
9496,1021,4049
9495,1021,2454
9494,1021,5242
9493,1021,2511
9492,1021,2060
9491,1021,5353
9490,1021,5125
9489,1021,1374
9488,1021,4860
9486,1021,6461
9484,1021,4193
9485,1021,4379
9487,1021,3021
9483,1021,3109
9482,1021,3417
9481,1021,3690
9480,1021,2244
9479,1021,1566
9478,1021,4207
9477,1021,1381
9476,1021,4225
9475,1021,5144
9499,1022,5982
9500,1022,4255
9502,1023,2967
9501,1023,5426
9503,1024,2537
9504,1024,5137
9505,1024,1577
9506,1024,1461
9507,1024,4321
9508,1025,4051
9509,1026,2301
9510,1027,3908
9511,1027,7003
9512,1028,6798
9513,1029,2213
9514,1029,4270
9515,1030,6681
9516,1030,4282
9518,1031,4765
9517,1031,4598
9520,1032,2842
9519,1032,4768
9521,1033,1477
9522,1033,4845
9523,1034,2726
9524,1034,2645
9525,1034,2878
9526,1034,5038
9527,1034,2920
9528,1034,6689
9529,1035,1616
9530,1035,1791
9531,1035,5311
9546,1036,1095
9547,1036,2561
9548,1036,3958
9549,1036,4251
9550,1036,4809
9555,1036,3890
9552,1036,3275
9553,1036,4984
9554,1036,2686
9545,1036,4950
9551,1036,4321
9544,1036,3563
9556,1036,3325
9542,1036,1340
9543,1036,4518
9532,1036,1914
9534,1036,4879
9535,1036,1334
9536,1036,4735
9533,1036,4998
9538,1036,3175
9539,1036,4240
9540,1036,2128
9541,1036,206
9537,1036,1505
9566,1037,4207
9573,1037,5349
9572,1037,4379
9571,1037,4588
9570,1037,5242
9569,1037,2288
9567,1037,3825
9565,1037,3181
9568,1037,3615
9563,1037,1577
9562,1037,3226
9561,1037,3589
9560,1037,4049
9559,1037,5123
9558,1037,7043
9557,1037,3862
9564,1037,2786
9576,1038,5165
9574,1038,3570
9575,1038,4230
9598,1039,6434
9595,1039,4381
9594,1039,5379
9596,1039,2736
9597,1039,4003
9599,1039,1103
9605,1039,1268
9601,1039,2146
9602,1039,3857
9603,1039,4194
9604,1039,1715
9606,1039,4111
9593,1039,1289
9600,1039,4483
9592,1039,3763
9587,1039,3974
9590,1039,3109
9591,1039,2378
9577,1039,2056
9579,1039,3410
9580,1039,4965
9581,1039,5824
9582,1039,3407
9578,1039,3271
9584,1039,5330
9585,1039,5326
9586,1039,5883
9589,1039,4679
9588,1039,3292
9583,1039,2854
9613,1040,1311
9612,1040,3097
9611,1040,3842
9609,1040,2987
9608,1040,6954
9607,1040,3560
9610,1040,6941
9620,1041,2431
9624,1041,4234
9622,1041,2326
9621,1041,4685
9619,1041,1259
9623,1041,3132
9617,1041,5083
9616,1041,1749
9615,1041,2107
9614,1041,3729
9618,1041,4922
9625,1042,1717
9626,1042,4416
9627,1042,2580
9628,1042,4939
9629,1042,4478
9630,1042,6117
9631,1042,6965
9636,1043,3473
9635,1043,678
9637,1043,4685
9633,1043,1162
9632,1043,5101
9634,1043,3412
9647,1044,6856
9646,1044,1692
9645,1044,2488
9643,1044,2901
9644,1044,3473
9641,1044,1855
9640,1044,1331
9639,1044,5123
9638,1044,3288
9642,1044,2095
9648,1045,3628
9649,1045,4456
9650,1045,4358
9651,1045,4416
9652,1045,4740
9657,1046,4325
9655,1046,4983
9656,1046,6095
9653,1046,1880
9654,1046,2394
9658,1047,3799
9659,1047,3850
9660,1047,2705
9661,1047,3655
9662,1047,2119
9669,1048,4254
9668,1048,4216
9667,1048,3116
9670,1048,2605
9665,1048,3557
9664,1048,1861
9663,1048,2831
9666,1048,1963
9671,1049,4998
9680,1050,5349
9679,1050,3132
9678,1050,4740
9677,1050,1095
9675,1050,1749
9674,1050,3226
9673,1050,1763
9672,1050,4051
9676,1050,1519
9682,1051,1331
9681,1051,1536
9683,1051,5011
9685,1052,2134
9684,1052,3791
9686,1053,5303
9687,1053,2159
9688,1053,3210
9689,1053,2786
9690,1053,1536
9691,1053,4311
9692,1053,4112
9693,1053,3488
9694,1053,2288
9695,1053,4388
9699,1054,2971
9704,1054,2419
9703,1054,1749
9702,1054,7091
9701,1054,3708
9696,1054,4248
9698,1054,1889
9697,1054,6732
9700,1054,3226
9717,1055,5290
9716,1055,4784
9718,1055,5225
9715,1055,1785
9720,1055,4176
9721,1055,2956
9722,1055,5426
9719,1055,1372
9714,1055,3680
9723,1055,4457
9712,1055,4238
9711,1055,2602
9710,1055,3753
9709,1055,3163
9708,1055,4002
9707,1055,3706
9706,1055,5308
9705,1055,2625
9713,1055,3505
9724,1056,4697
9725,1057,4475
9726,1057,2107
9727,1057,1104
9728,1057,1078
9729,1057,5443
9730,1058,2885
9731,1058,5247
9732,1058,4172
9733,1058,5183
9734,1058,6854
9735,1058,3951
9736,1058,2329
9737,1058,2814
9738,1059,1394
9739,1060,1749
9740,1061,1214
9741,1061,4977
9742,1061,4283
9743,1061,4925
9744,1061,1764
9745,1061,2584
9746,1061,5330
9747,1061,7043
9748,1061,2645
9749,1061,5225
9750,1061,2782
9751,1061,4574
9752,1062,4692
9753,1063,4002
9754,1064,4787
9761,1065,5330
9760,1065,6422
9759,1065,4431
9757,1065,5561
9756,1065,5815
9755,1065,3396
9758,1065,6675
9762,1066,6522
9763,1067,3628
9764,1067,3071
9765,1067,1749
9766,1067,5137
9767,1068,3862
9768,1068,2836
9769,1069,2048
9770,1069,1289
9771,1070,1393
9779,1071,4334
9778,1071,1916
9780,1071,2048
9777,1071,5436
9774,1071,5210
9775,1071,1557
9773,1071,4475
9772,1071,4416
9776,1071,936
9781,1072,2378
9782,1072,3988
9783,1073,2279
9784,1073,3226
9789,1074,3226
9785,1074,2411
9786,1074,2262
9787,1074,5987
9788,1074,4416
9793,1075,2224
9792,1075,2082
9790,1075,1350
9791,1075,1375
9812,1076,6046
9811,1076,2411
9810,1076,1512
9809,1076,1161
9808,1076,4027
9807,1076,4211
9806,1076,5105
9805,1076,4720
9804,1076,4062
9803,1076,3828
9802,1076,4511
9801,1076,2278
9800,1076,2209
9799,1076,2313
9798,1076,1672
9797,1076,4655
9796,1076,5236
9795,1076,6154
9794,1076,2378
9819,1077,5372
9818,1077,3844
9817,1077,5100
9814,1077,1854
9815,1077,2791
9813,1077,2295
9816,1077,3226
9829,1078,2319
9828,1078,2134
9827,1078,2216
9825,1078,5242
9826,1078,3674
9823,1078,3003
9822,1078,5170
9821,1078,7063
9820,1078,1935
9824,1078,1757
9839,1079,3789
9844,1079,3395
9843,1079,1956
9842,1079,6093
9841,1079,4974
9840,1079,1199
9838,1079,3683
9836,1079,4815
9835,1079,1462
9834,1079,3733
9833,1079,1394
9832,1079,5885
9831,1079,5115
9830,1079,4294
9837,1079,4542
9845,1080,1223
9853,1081,2584
9858,1081,5915
9857,1081,4356
9856,1081,2645
9855,1081,4027
9854,1081,3210
9850,1081,3958
9851,1081,2686
9849,1081,2406
9848,1081,2540
9847,1081,2007
9846,1081,1971
9852,1081,5445
9890,1082,4670
9888,1082,5137
9889,1082,4240
9887,1082,4902
9883,1082,4735
9885,1082,4895
9884,1082,4998
9891,1082,3867
9886,1082,4514
9892,1082,4647
9902,1082,1889
9894,1082,1749
9895,1082,4247
9896,1082,2913
9897,1082,4950
9898,1082,1095
9899,1082,3162
9900,1082,1463
9901,1082,4663
9903,1082,5372
9893,1082,2666
9882,1082,2378
9860,1082,1936
9880,1082,1452
9859,1082,3862
9861,1082,1112
9862,1082,4648
9863,1082,1537
9864,1082,2100
9865,1082,2786
9866,1082,4181
9867,1082,3132
9868,1082,3761
9869,1082,2637
9871,1082,1393
9872,1082,2584
9873,1082,2632
9874,1082,4715
9875,1082,3984
9876,1082,4416
9877,1082,4827
9878,1082,5159
9879,1082,3071
9870,1082,3101
9881,1082,4293
9906,1083,2584
9905,1083,3728
9904,1083,5396
9907,1084,2692
9908,1084,4846
9909,1084,3747
9910,1085,4278
9917,1086,4722
9920,1086,3325
9919,1086,4827
9918,1086,2371
9916,1086,3697
9914,1086,5519
9913,1086,2771
9912,1086,1808
9911,1086,3862
9915,1086,4689
9921,1087,2757
9922,1088,4580
9923,1088,4996
9924,1088,1545
9925,1089,3118
9926,1089,2246
9927,1090,1281
9930,1091,6308
9928,1091,1494
9929,1091,2683
9931,1092,2406
9932,1092,2683
9933,1092,4051
9934,1092,4543
9935,1093,2537
9936,1093,2378
9939,1094,6864
9940,1094,3226
9937,1094,4740
9938,1094,4842
10091,1095,5023
10082,1095,3068
10083,1095,4955
10084,1095,1808
10085,1095,5867
10086,1095,3226
10087,1095,4719
10088,1095,5398
10089,1095,1181
10090,1095,5399
10092,1095,4088
10098,1095,1572
10094,1095,357
10095,1095,2654
10096,1095,2674
10097,1095,1613
10081,1095,1996
10099,1095,6714
10100,1095,6044
10101,1095,2443
10102,1095,4730
10103,1095,5210
10104,1095,3665
10093,1095,2685
10080,1095,7023
10074,1095,3446
10078,1095,1806
10053,1095,3344
10054,1095,3210
10055,1095,3562
10056,1095,2617
10057,1095,5266
10058,1095,1157
10059,1095,4093
10061,1095,5592
10062,1095,1979
10063,1095,5847
10064,1095,4271
10079,1095,4167
10065,1095,4603
10067,1095,3574
10068,1095,2628
10069,1095,2414
10070,1095,4273
10071,1095,4567
10072,1095,3035
10073,1095,5021
10105,1095,1201
10075,1095,2393
10076,1095,2213
10077,1095,3963
10066,1095,2625
10106,1095,2666
10112,1095,3614
10108,1095,5096
10137,1095,2065
10138,1095,2803
10139,1095,5462
10140,1095,4819
10141,1095,3071
10142,1095,2018
10143,1095,1672
10144,1095,7100
10145,1095,4172
10146,1095,2910
10147,1095,1679
10136,1095,3988
10148,1095,7105
10150,1095,2293
10151,1095,3652
10152,1095,4908
10153,1095,4774
10154,1095,2279
10155,1095,5267
10156,1095,3811
10157,1095,6769
10158,1095,1693
10159,1095,6748
10160,1095,6410
10149,1095,6875
10107,1095,4590
10135,1095,6861
10133,1095,5062
10109,1095,5413
10110,1095,6309
10111,1095,2008
10052,1095,4395
10113,1095,5171
10114,1095,3672
10115,1095,6822
10116,1095,4472
10117,1095,3439
10118,1095,1433
10119,1095,3447
10134,1095,7092
10120,1095,3802
10122,1095,5050
10123,1095,4143
10124,1095,2855
10125,1095,2046
10126,1095,2048
10127,1095,5009
10128,1095,2641
10129,1095,2695
10130,1095,1580
10131,1095,2889
10132,1095,4202
10121,1095,3072
10051,1095,5237
10060,1095,3382
10049,1095,5821
9969,1095,2333
9970,1095,5058
9971,1095,5296
9972,1095,5151
9973,1095,3470
9974,1095,5948
9975,1095,4657
9976,1095,1723
9977,1095,4804
9978,1095,2336
9979,1095,5218
9968,1095,3688
10050,1095,4047
9982,1095,6689
9983,1095,4487
9984,1095,3692
9985,1095,5102
9986,1095,7007
9987,1095,2972
9988,1095,2140
9989,1095,5301
9990,1095,3577
9991,1095,4687
9992,1095,4811
9981,1095,6417
9993,1095,2941
9967,1095,7046
9965,1095,1714
9941,1095,1795
9942,1095,2095
9943,1095,2924
9944,1095,4177
9945,1095,4919
9946,1095,2312
9947,1095,6896
9948,1095,2100
9949,1095,4616
9950,1095,2733
9951,1095,4926
9966,1095,3686
9952,1095,4016
9954,1095,3561
9955,1095,5352
9956,1095,3132
9957,1095,1288
9958,1095,5977
9959,1095,2322
9960,1095,4790
9961,1095,1708
9962,1095,3330
9963,1095,4341
9964,1095,2645
9953,1095,5733
9994,1095,4213
9980,1095,2758
9996,1095,5883
10025,1095,4543
10026,1095,1745
10027,1095,3362
10028,1095,2176
10029,1095,2963
10030,1095,3003
10031,1095,3396
10032,1095,3730
10033,1095,3432
10034,1095,4076
10035,1095,1931
10024,1095,4690
10036,1095,3197
9995,1095,4442
10039,1095,3733
10040,1095,2419
10041,1095,4693
10042,1095,3737
10043,1095,5437
10044,1095,3906
10045,1095,6751
10046,1095,2610
10047,1095,2395
10048,1095,4959
10037,1095,2385
10023,1095,4549
10038,1095,4989
10021,1095,734
10022,1095,2930
9997,1095,2808
9998,1095,1741
9999,1095,1107
10000,1095,4963
10001,1095,2824
10002,1095,3926
10003,1095,7019
10004,1095,1533
10006,1095,3882
10007,1095,5347
10008,1095,4816
10005,1095,1332
10010,1095,4377
10020,1095,3562
10019,1095,5561
10018,1095,6724
10009,1095,199
10016,1095,6003
10015,1095,6722
10017,1095,5122
10013,1095,3147
10012,1095,1943
10011,1095,6717
10014,1095,5364
10175,1096,5435
10170,1096,3014
10174,1096,2382
10173,1096,4589
10172,1096,4641
10171,1096,5225
10169,1096,3128
10163,1096,4880
10167,1096,5069
10166,1096,3021
10165,1096,2052
10164,1096,3163
10162,1096,4617
10161,1096,2219
10168,1096,4457
10183,1097,4111
10182,1097,5280
10181,1097,6336
10180,1097,3258
10178,1097,3767
10177,1097,1331
10176,1097,2132
10179,1097,4934
10184,1098,5095
10185,1098,3536
10186,1098,6775
10187,1098,3362
10188,1098,1838
10193,1099,3633
10194,1099,1964
10192,1099,3202
10195,1099,5884
10190,1099,1234
10189,1099,1261
10191,1099,1763
10213,1100,4976
10212,1100,5231
10211,1100,5036
10210,1100,3403
10209,1100,2975
10208,1100,3756
10207,1100,3579
10206,1100,5353
10205,1100,1749
10204,1100,2402
10203,1100,1136
10202,1100,2548
10201,1100,1596
10200,1100,4362
10199,1100,7065
10198,1100,7078
10197,1100,2719
10196,1100,4575
10219,1101,5137
10217,1101,3207
10218,1101,3513
10215,1101,5405
10214,1101,2227
10216,1101,2645
10234,1102,4387
10233,1102,3503
10232,1102,3384
10231,1102,4454
10229,1102,2906
10228,1102,5277
10227,1102,3723
10230,1102,4527
10225,1102,1941
10224,1102,2433
10223,1102,3842
10222,1102,4982
10221,1102,4340
10220,1102,5111
10226,1102,1889
10246,1103,4457
10253,1103,1474
10252,1103,4483
10251,1103,3984
10250,1103,1570
10249,1103,5332
10248,1103,3559
10247,1103,3516
10245,1103,3933
10235,1103,4640
10243,1103,3974
10242,1103,3588
10241,1103,3706
10240,1103,2157
10239,1103,5137
10238,1103,4238
10237,1103,3883
10236,1103,4603
10244,1103,1678
10288,1104,1973
10287,1104,5202
10286,1104,4772
10285,1104,3373
10281,1104,2067
10283,1104,4008
10282,1104,4992
10289,1104,5409
10280,1104,4724
10284,1104,5391
10290,1104,1782
10294,1104,4416
10292,1104,5303
10293,1104,3254
10295,1104,2771
10296,1104,5278
10297,1104,3791
10298,1104,7008
10299,1104,5307
10300,1104,3794
10301,1104,7119
10279,1104,1406
10291,1104,4997
10278,1104,4829
10256,1104,1334
10276,1104,3054
10254,1104,5146
10255,1104,2978
10277,1104,1816
10258,1104,2827
10259,1104,2919
10260,1104,5083
10261,1104,4541
10262,1104,1947
10263,1104,2987
10264,1104,1666
10257,1104,3488
10266,1104,4184
10267,1104,5239
10268,1104,2052
10269,1104,2643
10270,1104,3888
10271,1104,2112
10272,1104,4680
10273,1104,3458
10274,1104,2056
10275,1104,4681
10265,1104,2739
10302,1105,2637
10303,1105,2824
10309,1106,3535
10308,1106,5446
10307,1106,5293
10304,1106,5310
10305,1106,1763
10306,1106,4862
10316,1107,4459
10310,1107,4260
10311,1107,1763
10312,1107,3226
10313,1107,4998
10314,1107,1749
10315,1107,3132
10324,1108,3842
10323,1108,4331
10325,1108,4640
10322,1108,2397
10326,1108,3515
10320,1108,1841
10317,1108,2339
10321,1108,4278
10319,1108,3480
10318,1108,4162
10327,1109,5698
10328,1109,5226
10329,1110,2825
10330,1110,1749
10342,1111,4933
10341,1111,4334
10339,1111,6907
10337,1111,3656
10336,1111,4209
10340,1111,4988
10334,1111,3368
10335,1111,4052
10331,1111,5116
10338,1111,1906
10333,1111,2719
10332,1111,4806
10343,1112,2378
10344,1112,5272
10345,1112,3243
10354,1112,4416
10347,1112,3501
10348,1112,3560
10349,1112,5226
10350,1112,4413
10351,1112,2963
10352,1112,3668
10353,1112,3893
10346,1112,4648
10356,1113,3987
10355,1113,4049
10357,1114,1763
10358,1115,1363
10359,1115,6555
10360,1115,3528
10361,1116,4248
10362,1116,1889
10363,1116,2971
10364,1116,1421
10365,1117,4056
10366,1117,5148
10367,1117,2272
10378,1118,2822
10377,1118,4207
10376,1118,3985
10375,1118,2463
10374,1118,4722
10372,1118,3445
10371,1118,1259
10370,1118,4461
10369,1118,4573
10368,1118,6741
10373,1118,4416
10379,1119,4697
10380,1119,2552
10381,1119,1988
10382,1120,2449
10383,1120,3473
10384,1120,1763
10394,1121,2976
10393,1121,4049
10392,1121,5443
10390,1121,1259
10391,1121,2042
10388,1121,2584
10387,1121,1393
10386,1121,4238
10385,1121,3226
10389,1121,4027
10395,1122,4992
10396,1123,7051
10397,1123,4416
10404,1124,2584
10403,1124,1749
10402,1124,5445
10399,1124,3987
10400,1124,5159
10398,1124,4247
10401,1124,3867
10410,1125,4041
10412,1125,2878
10411,1125,6442
10409,1125,2434
10407,1125,4836
10406,1125,4051
10405,1125,1462
10408,1125,3375
10413,1126,1986
10414,1126,3706
10415,1126,4199
10416,1126,3226
10417,1126,1570
10418,1126,2586
10419,1126,2060
10420,1126,4255
10421,1127,1633
10423,1128,3473
10422,1128,1855
10424,1128,2411
10425,1129,5425
10426,1130,2397
10427,1130,1889
10428,1130,1716
10429,1130,1749
10430,1131,2637
10431,1132,2637
10432,1132,4339
10433,1132,1452
10434,1132,4416
10439,1133,3901
10438,1133,1540
10437,1133,1259
10436,1133,4544
10435,1133,3706
10463,1134,4434
10464,1134,1410
10465,1134,3201
10466,1134,5307
10467,1134,4184
10468,1134,3473
10469,1134,3205
10470,1134,2949
10471,1134,7110
10478,1134,5183
10473,1134,1688
10474,1134,5827
10475,1134,3166
10476,1134,4082
10477,1134,6294
10462,1134,2584
10479,1134,2411
10480,1134,3571
10482,1134,5087
10472,1134,2916
10461,1134,4689
10481,1134,4175
10459,1134,1138
10460,1134,4685
10440,1134,1927
10441,1134,2208
10443,1134,2981
10444,1134,4612
10445,1134,3583
10446,1134,2160
10447,1134,5279
10448,1134,3568
10442,1134,3866
10450,1134,5131
10451,1134,1337
10452,1134,3226
10453,1134,4788
10454,1134,4954
10455,1134,3818
10456,1134,4027
10457,1134,4812
10458,1134,1211
10449,1134,5015
10489,1135,1151
10488,1135,4371
10487,1135,4128
10485,1135,5425
10484,1135,4722
10483,1135,3491
10486,1135,4238
10499,1136,5182
10505,1136,1306
10504,1136,3061
10503,1136,4267
10502,1136,1596
10501,1136,5443
10500,1136,7083
10498,1136,3186
10492,1136,2283
10496,1136,7014
10495,1136,4699
10494,1136,2308
10493,1136,3431
10491,1136,1779
10490,1136,2033
10497,1136,6173
10506,1137,2378
10507,1137,2726
10508,1137,2878
10509,1137,2969
10518,1138,2649
10517,1138,4416
10516,1138,2652
10515,1138,2411
10510,1138,2726
10513,1138,4685
10512,1138,5127
10511,1138,3729
10514,1138,4998
10525,1139,3364
10528,1139,6689
10527,1139,3436
10524,1139,5057
10526,1139,4453
10522,1139,2153
10521,1139,4216
10520,1139,3495
10519,1139,1915
10523,1139,1567
10534,1140,4371
10532,1140,4648
10533,1140,5654
10530,1140,1861
10529,1140,6042
10531,1140,2813
10551,1141,3809
10550,1141,1189
10549,1141,2411
10548,1141,5190
10547,1141,4204
10546,1141,2431
10545,1141,4082
10544,1141,2041
10541,1141,1688
10542,1141,3502
10540,1141,7082
10539,1141,2686
10538,1141,2208
10537,1141,5340
10536,1141,4652
10535,1141,3729
10543,1141,2202
10552,1142,2689
10553,1143,3147
10554,1143,3583
10555,1143,4986
10556,1143,5117
10561,1144,3818
10560,1144,2313
10557,1144,4720
10558,1144,1855
10559,1144,5236
10562,1145,3954
10563,1146,2625
10564,1146,2942
10565,1146,2319
10566,1146,4539
10567,1146,3726
10568,1146,3014
10569,1147,3971
10571,1148,4661
10570,1148,5415
10572,1149,4652
10573,1150,1841
10574,1150,3226
10595,1151,4024
10596,1151,3840
10597,1151,4025
10598,1151,6314
10600,1151,4663
10601,1151,6731
10602,1151,4722
10610,1151,6169
10604,1151,2862
10605,1151,2926
10606,1151,5159
10607,1151,5277
10608,1151,4049
10609,1151,4345
10594,1151,3630
10603,1151,2594
10593,1151,3868
10599,1151,2729
10591,1151,1909
10576,1151,4781
10577,1151,6537
10578,1151,1614
10579,1151,3840
10580,1151,3275
10581,1151,1537
10582,1151,3779
10583,1151,5117
10575,1151,3862
10585,1151,4263
10592,1151,4167
10586,1151,2463
10587,1151,1177
10588,1151,3265
10589,1151,2853
10590,1151,3036
10584,1151,4207
10611,1152,1363
10614,1153,5360
10615,1153,3821
10612,1153,6298
10613,1153,4981
10616,1154,5426
10617,1154,4950
10618,1154,4543
10619,1154,4723
10620,1154,5359
10621,1154,4426
10629,1155,1749
10633,1155,4416
10632,1155,6610
10631,1155,4165
10630,1155,1889
10628,1155,2786
10626,1155,5349
10625,1155,4998
10624,1155,2194
10623,1155,6741
10622,1155,3862
10627,1155,3646
10639,1156,3876
10642,1156,4983
10641,1156,3637
10640,1156,5003
10637,1156,3285
10636,1156,2918
10635,1156,2220
10634,1156,5364
10638,1156,3844
10667,1157,1749
10666,1157,4719
10665,1157,2372
10662,1157,5332
10663,1157,3615
10668,1157,5022
10678,1157,4926
10669,1157,2514
10676,1157,5435
10671,1157,5347
10672,1157,4387
10673,1157,4988
10674,1157,1958
10675,1157,2842
10677,1157,4440
10670,1157,4641
10661,1157,6756
10664,1157,4928
10659,1157,5123
10660,1157,7007
10644,1157,3862
10645,1157,3842
10646,1157,4707
10647,1157,3196
10648,1157,2208
10649,1157,6920
10650,1157,3779
10643,1157,3365
10652,1157,1678
10653,1157,1646
10654,1157,4768
10655,1157,3696
10656,1157,4416
10657,1157,2637
10658,1157,2119
10651,1157,5137
10681,1158,1701
10682,1158,5125
10679,1158,2132
10680,1158,5729
10683,1159,4714
10684,1159,2649
10685,1159,4416
10702,1160,5219
10701,1160,6563
10700,1160,5652
10699,1160,1580
10695,1160,6717
10697,1160,4543
10696,1160,5305
10694,1160,2780
10698,1160,2556
10692,1160,2731
10691,1160,5083
10690,1160,4002
10689,1160,2882
10688,1160,2616
10687,1160,2625
10686,1160,2378
10693,1160,7117
10753,1161,4002
10752,1161,4631
10751,1161,4353
10750,1161,4339
10749,1161,4883
10748,1161,4041
10744,1161,3733
10746,1161,1954
10745,1161,1791
10754,1161,1567
10743,1161,2756
10742,1161,1463
10741,1161,3883
10740,1161,3779
10772,1161,4056
10755,1161,4522
10759,1161,2192
10757,1161,2035
10739,1161,4655
10771,1161,4038
10770,1161,4204
10769,1161,5002
10768,1161,5070
10767,1161,1266
10756,1161,1318
10766,1161,2026
10764,1161,1566
10763,1161,4653
10762,1161,1179
10761,1161,1970
10760,1161,6032
10758,1161,6657
10765,1161,5130
10738,1161,4989
10747,1161,2505
10736,1161,3633
10716,1161,1888
10715,1161,2587
10714,1161,5149
10713,1161,3930
10712,1161,1116
10711,1161,1204
10717,1161,5087
10710,1161,3888
10708,1161,5115
10707,1161,1396
10706,1161,5278
10705,1161,5310
10704,1161,4640
10737,1161,1195
10709,1161,2683
10718,1161,5321
10703,1161,1230
10720,1161,5383
10735,1161,2495
10734,1161,5317
10733,1161,2331
10732,1161,1455
10730,1161,3261
10729,1161,4234
10728,1161,2411
